i,mi size,input FFSM size,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,rounded average,SD
1,14,,,,,,,,,,,,,
2,16,14,851,659,766,727,715,679,743,680,695,657,717,59
3,26,16,999,673,664,980,679,696,663,671,697,697,742,131
4,28,30,4885,5027,4979,4995,4782,4886,5452,4692,4811,4858,4937,208
5,30,36,12962,12425,12653,12241,12143,12252,13244,12506,13400,12532,12636,432
6,32,39,21298,22505,21444,19580,20815,20683,20673,20208,20005,20428,20764,830
7,42,41,60566,60268,60311,59937,61502,61479,61059,68682,59652,62413,61587,2629
8,48,48,167293,170901,160343,177855,169976,174865,185612,195163,167644,174105,174376,9970
9,52,57,494877,353469,433126,398493,385246,358785,440978,388655,368741,397039,401941,43383
10,52,65,578495,666529,627470,605302,599183,604560,617800,611784,654136,582170,614743,28330
11,78,70,3568461,3679483,3758401,3685489,3765665,3629289,3632639,3704641,3645229,3633966,3670326,61256
12,84,90,,,,,,,,,,,,
13,96,97,,,,,,,,,,,,
14,180,113,,,,,,,,,,,,
15,234,184,,,,,,,,,,,,
16,864,267,,,,,,,,,,,,
